Name,CPUCount,MemoryGB,DiskCapacity (GB),IPs/MACs,IP Address,CenOS Release,Chef Run List,Owner,Priority (1-3),Kill?,Replace,Notes,,,,,
cam-vm-p1,4,16,202,"10.10.89.22, fe80::250:56ff:feaa:1887, 66.151.176.27, fe80::250:56ff:feaa:be6",10.10.89.22,centos 6.4,[tpn-base] [tpn-java] [tpn-mfsclient::mfsstore] [tpn-mfsclient::store2] [tpn-mfsclient::store3] [tpn-mfsclient::store5],,,,,,,,,,
cam-vm-doc2,2,4,30,"10.10.80.103, fe80::250:56ff:feaa:39f8",10.10.80.103,centos 6.4,[tpn-base] [tpn-java] [tpn-certs::wildcard] [tpn-httpd] [tpn-mfsclient::mfsstore],,,,,,,,,,
cam-vm-d6,4,12,172,"10.10.89.92, 10.10.89.231, 10.10.89.250, 10.10.89.251, 10.10.89.59, fe80::20c:29ff:fe1b:5f7a, 192.168.89.4, fe80::20c:29ff:fe1b:5f84, 10.22.89.92, fe80::20c:29ff:fe1b:5f8e",10.10.89.92,centos 5.8,[tpn-base] [tpn-java],,,,,,,,,,
cam-vm-d5,4,10,252,"10.10.89.82, 10.10.89.248, 10.10.89.249, 10.10.89.244, 10.10.89.243, 10.10.89.83, 10.10.89.65, fe80::20c:29ff:fe58:f4c8, 192.168.89.3, fe80::20c:29ff:fe58:f4d2",10.10.89.82,centos 5.8,[tpn-base] [tpn-java],,,,,,,,,,
cam-prov-ws2,2,2,30,"10.10.80.68, fe80::250:56ff:feaa:6527, 66.151.176.88, 66.151.176.95, 66.151.176.96, fe80::250:56ff:feaa:60d4",66.151.176.88,centos 6.4,[tpn-base] [tpn-httpd] [tpn-mfsclient::store3] [tpn-mfsclient::store6],,,,,,,,,,
cam-prov-ws1,2,2,30,"10.10.80.127, fe80::250:56ff:feaa:3128, 66.151.176.84, 66.151.176.93, 66.151.176.120, fe80::250:56ff:feaa:5a68",66.151.176.84,centos 6.4,[tpn-base] [tpn-httpd] [tpn-mfsclient::store3] [tpn-mfsclient::store6],,,,,,,,,,
cam-ps1,2,2,30,"10.10.89.108, fe80::250:56ff:feaa:5fb3",10.10.89.108,centos 6.4,[tpn-base] [tpn-httpd],,,,,,,,,,
cam-prov-log1,2,2,30,"10.10.80.71, fe80::250:56ff:feaa:25d5",10.10.80.71,centos 6.4,[tpn-base] [tpn-elasticsearch],,,,,,,,,,
cam-vm-g8,2,2,30,"10.10.89.16, fe80::20c:29ff:feab:e09b, 66.151.176.22, fe80::20c:29ff:feab:e0a5",66.151.176.22,centos 5.6,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-m1,4,2,30,"10.10.89.139, 66.151.176.139",66.151.176.139,centos 5.7,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-mon1,2,3,30,"10.10.89.241, fe80::20c:29ff:fef1:f6d1, 66.151.176.241, fe80::20c:29ff:fef1:f6db",66.151.176.241,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-g9,2,2,30,"10.10.89.17, fe80::20c:29ff:fe00:aa4e, 66.151.176.17, fe80::20c:29ff:fe00:aa58",66.151.176.17,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-g7,2,2,30,"10.10.89.15, fe80::20c:29ff:fe90:54ea, 66.151.176.12, fe80::20c:29ff:fe90:54f4",66.151.176.12,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-g3,2,2,30,"10.10.89.13, fe80::20c:29ff:fe15:ed02, 66.151.176.13, fe80::20c:29ff:fe15:ed0c",66.151.176.13,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-g2,4,2,30,"10.10.89.20, fe80::20c:29ff:fe3d:479d, 66.151.176.20, fe80::20c:29ff:fe3d:47a7",66.151.176.20,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-f5,2,1,30,"10.10.89.78, fe80::20c:29ff:fea2:40c2, 66.151.176.78, fe80::20c:29ff:fea2:40cc",66.151.176.78,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-f3,2,2,30,"10.10.89.26, fe80::250:56ff:feaa:3b72, 66.151.176.240, fe80::250:56ff:feaa:3b73",66.151.176.240,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-f2,2,1,70,"10.10.89.86, 66.151.176.86",66.151.176.86,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-f1,2,1,30,"10.10.89.80, fe80::250:56ff:feaa:3b70, 66.151.176.80, fe80::250:56ff:feaa:3b71",66.151.176.80,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-c7,4,2,30,"10.15.89.36, fe80::250:56ff:feaa:32ad, 10.10.89.190, fe80::250:56ff:feaa:32af, 66.151.176.190, fe80::250:56ff:feaa:32ae",66.151.176.190,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-c5,2,2,30,"10.15.89.33, fe80::250:56ff:feaa:32a7, 10.10.89.170, fe80::250:56ff:feaa:32a9, 66.151.176.170, fe80::250:56ff:feaa:32a8",66.151.176.170,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-c4,4,2,60,"10.15.89.32, fe80::250:56ff:feaa:32a4, 10.10.89.150, fe80::250:56ff:feaa:32a6, 66.151.176.150, fe80::250:56ff:feaa:32a5",66.151.176.150,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-c1,2,2,30,"10.15.89.30, fe80::250:56ff:feaa:329d, 10.10.89.30, fe80::250:56ff:feaa:329b, 66.151.176.30, fe80::250:56ff:feaa:329c",66.151.176.30,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-g13,2,2,29.296875,"10.10.89.178, fe80::250:56ff:feaa:361, 66.151.176.178, 66.151.176.47, fe80::250:56ff:feaa:362",66.151.176.178,centos 5.9,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-svn1,2,3,250,"10.10.89.8, fe80::250:56ff:feaa:32ba",10.10.89.8,centos 6.2,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-ws4,2,1,30,"10.10.89.45, 10.10.89.19, 10.10.89.49, fe80::250:56ff:feaa:3238",10.10.89.45,centos 6.4,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-cass4,2,8,80,"10.10.80.4, fe80::250:56ff:feaa:4806",10.10.80.4,centos 6.4,[tpn-base] [tpn-cassandra],,,,,,,,,,
cam-cass3,2,8,80,"10.10.80.3, fe80::250:56ff:feaa:6dde",10.10.80.3,centos 6.4,[tpn-base] [tpn-cassandra],,,,,,,,,,
cam-vm-z2,2,1,30.0087890625,"10.10.80.84, fe80::250:56ff:feaa:96a",10.10.80.84,centos 6.3,[tpn-base] [tpn-base]tpn-vertica::console],,,,,,,,,,
cam-hap2,2,2,30,"10.10.80.77, fe80::250:56ff:feaa:40b, 66.151.176.174, fe80::250:56ff:feaa:1177",66.151.176.174,centos 6.4,[tpn-base] [tlc-ucapi::haproxy],Jeff,,N,N,HA Proxy,,,,,
cam-hap1,2,2,30,"10.10.80.76, fe80::250:56ff:feaa:2d27, 66.151.176.173, fe80::250:56ff:feaa:798f",66.151.176.173,centos 6.4,[tpn-base] [tlc-ucapi::haproxy],Jeff,,N,N,HA Proxy,,,,,
cam-z1-i1,2,7,30,"10.10.89.219, fe80::250:56ff:feaa:27a5, 66.151.176.226, fe80::250:56ff:feaa:27b1",66.151.176.226,centos 6.3,[tpn-base] [tlc-tcc],,,,,,,,,,
cam-z2-i1,2,18,30,"66.151.176.228, fe80::250:56ff:feaa:37c1, 10.10.89.233, fe80::250:56ff:feaa:2b1c",66.151.176.228,centos 6.4,[tpn-base] [tlc-tcc],,,,,,,,,,
cam-z6-j2,2,4,30,"10.10.80.208, fe80::250:56ff:feaa:6edf, 66.151.176.148, fe80::250:56ff:feaa:7cfc",66.151.176.148,centos 6.4,[tpn-base] [tlc-openfire],,,,,,,,,,
cam-vm-cns2,1,2,10,"10.10.89.38, fe80::20c:29ff:fee0:578c, 66.151.176.38, fe80::20c:29ff:fee0:5796",66.151.176.38,centos 5.8,[tpn-base] [tlc-ntp-master],,,,,,,,,,
cam-store7,2,2,130,"10.10.80.102, fe80::250:56ff:feaa:2ae7",10.10.80.102,centos 6.4,[tpn-base] [tlc-moosefs::sms],,,,,,,,,,
cdn-util2,2,2,30,"10.10.222.97, fe80::250:56ff:feaa:50ed",10.10.222.97,centos 6.4,[tpn-base] [tlc-hastebin] [tpn-mysql::server],,,,,,,,,,
cam-go-dir2,2,3,30,"10.10.80.210, fe80::250:56ff:feaa:154e",10.10.80.210,centos 6.4,[tpn-base] [tlc-go-directory],Jeff,,N,N,Large Directory,,,,,
cam-go-dir1,2,3,30,"10.10.80.209, fe80::250:56ff:feaa:600a",10.10.80.209,centos 6.4,[tpn-base] [tlc-go-directory],Jeff,,N,N,Large Directory,,,,,
cam-vm-v3,2,1,25,10.10.89.63,10.10.89.63,centos 5.8,[tpn-base],,,,,,,,,,
cam-vm-u4,2,4,830,10.10.89.70,10.10.89.70,centos 5.8,[tpn-base],,,,,,,,,,
cam-vm-ob1,2,2,30,"10.10.89.25, fe80::250:56ff:feaa:406e, 66.151.176.25, fe80::250:56ff:feaa:406f",66.151.176.25,centos 5.8,[tpn-base],,,,,,,,,,
cam-vm-mon4,2,1,15,"10.10.89.237, fe80::20c:29ff:fe17:697e, 66.151.176.237, fe80::20c:29ff:fe17:6988",66.151.176.237,centos 5.8,[tpn-base],Andrew E,2,,Y,,,,,,
cam-vm-mon3,2,3,30,"10.10.89.239, fe80::20c:29ff:fe81:b013, 10.10.90.250, fe80::20c:29ff:fe81:b01d",10.10.89.239,centos 5.8,[tpn-base],Andrew E,2,,Y,,,,,,
cam-vm-h2s,2,1,20,"10.89.101.7, 10.11.89.7, 10.10.89.36, 66.151.176.36",66.151.176.36,centos 5.8,[tpn-base],,,,,,,,,,
cam-vm-g6,2,2,30,"10.10.89.24, fe80::20c:29ff:fe91:1293, 66.151.176.24, fe80::20c:29ff:fe91:129d",66.151.176.24,centos 5.8,[tpn-base],,,,Y,Gateway,,,,,
cam-vm-g12,2,2,30,"10.10.89.12, fe80::250:56ff:feaa:332, 66.151.176.215, fe80::250:56ff:feaa:333",66.151.176.215,centos 5.8,[tpn-base],,,,Y,Gateway,,,,,
cam-vm-g11,2,2,30,"10.10.89.11, fe80::250:56ff:feaa:330, 66.151.176.214, fe80::250:56ff:feaa:331",66.151.176.214,centos 5.8,[tpn-base],,,,Y,Gateway,,,,,
cam-vm-g10,2,2,30,"10.10.89.18, fe80::20c:29ff:febd:bfd3, 66.151.176.18, fe80::20c:29ff:febd:bfdd",66.151.176.18,centos 5.8,[tpn-base],,,,Y,Gateway,,,,,
cam-vm-g1,4,2,30,"10.10.89.10, fe80::20c:29ff:feae:7291, 66.151.176.10, fe80::20c:29ff:feae:729b",66.151.176.10,centos 5.8,[tpn-base],,,,Y,Gateway,,,,,
cam-vm-f4,2,2,30,"10.10.89.27, fe80::250:56ff:feaa:3b74, 66.151.176.145, fe80::250:56ff:feaa:3b75",66.151.176.145,centos 5.8,[tpn-base],,,,Y,Fax,,,,,
cam-vm-db2b,4,4,169,"10.10.89.44, 10.10.89.39",10.10.89.44,centos 5.8,[tpn-base],Irek,1,,Y,,,,,,
cam-vm-db2a,4,3,190,10.10.89.43,10.10.89.43,centos 5.8,[tpn-base],Irek,1,,Y,,,,,,
cam-vm-db1b,4,6,169,"10.10.89.42, 10.10.89.37",10.10.89.42,centos 5.8,[tpn-base],Irek,1,,Y,,,,,,
cam-vm-db1a,4,36,290,10.10.89.41,10.10.89.41,centos 5.8,[tpn-base],Irek,1,,Y,,,,,,
cam-vm-c2,4,2,30,"10.15.89.40, fe80::250:56ff:feaa:3298, 10.10.89.40, fe80::250:56ff:feaa:329a, 66.151.176.40, fe80::250:56ff:feaa:3299",66.151.176.40,centos 5.8,[tpn-base],,,,Y,callserver,,,,,
cam-vm-p4,2,8,50,"10.10.89.134, fe80::20c:29ff:fe61:9ddd, 192.168.89.2, fe80::20c:29ff:fe61:9de7",10.10.89.134,centos 5.9,[tpn-base],Travis,1,,Y,,,,,,
cam-vm-p3,2,6,60,"10.10.89.133, fe80::20c:29ff:fe1c:eab2, 192.168.89.1, fe80::20c:29ff:fe1c:eabc",10.10.89.133,centos 5.9,[tpn-base],Travis,1,,Y,,,,,,
cam-vm-tpx1,2,1,30,"10.2.1.7, fe80::250:56ff:feaa:2a2c, 10.10.89.101, fe80::250:56ff:feaa:3b64, 66.151.176.101, fe80::250:56ff:feaa:3b65",66.151.176.101,centos 6.2,[tpn-base],,,,,,,,,,
cam-vm-q1,2,14,32,"10.10.89.114, fe80::250:56ff:fe3f:154c",10.10.89.114,centos 6.2,[tpn-base],Sibbitt,1,,Y,Analytics,,,,,
cam-vm-int-lb1,2,0.5,16,"10.10.89.97, fe80::250:56ff:feaa:408e, 10.3.89.97, fe80::250:56ff:feaa:408f",10.10.89.97,centos 6.2,[tpn-base],,,,,,,,,,
cam-vm-ext-esb2,4,2,30,"10.10.89.106, fe80::250:56ff:feaa:4086, 10.3.89.106, fe80::250:56ff:feaa:4094, 66.151.176.106, fe80::250:56ff:feaa:4095",66.151.176.106,centos 6.2,[tpn-base],,,,,,,,,,
cam-vm-ext-esb1,4,2,30,"10.10.89.105, fe80::250:56ff:feaa:4084, 10.3.89.105, fe80::250:56ff:feaa:4092, 66.151.176.105, fe80::250:56ff:feaa:4093",66.151.176.105,centos 6.2,[tpn-base],,,,,,,,,,
cam-vm-eng1,2,4,150,"10.10.89.238, fe80::250:56ff:fe26:3ac4, 66.151.176.130, fe80::250:56ff:fe26:3ac6, 10.3.89.7, fe80::20c:29ff:fe26:3ad9",66.151.176.130,centos 6.2,[tpn-base],,,,Y,,,,,,
vm-dev-andy1,4,2,16,"10.10.80.148, 10.10.90.148, fe80::250:56ff:feaa:5368, fe80::250:56ff:feaa:5367",10.10.80.148,centos 6.3,[tpn-base],Andy,,Y,,,,,,,
cam-vm-store2,2,6,10255.9999952316,"10.10.89.197, fe80::250:56ff:feaa:950",10.10.89.197,centos 6.3,[tpn-base],Travis,,,Y,moosefs,,,,,
cam-vm-store1,2,2,432,"10.10.90.60, fe80::250:56ff:feaa:4079, 10.10.89.50, fe80::250:56ff:feaa:407c",10.10.89.50,centos 6.3,[tpn-base],Travis,,,Y,moosefs,,,,,
cam-vm-mon6,4,10,80,"10.10.89.56, fe80::250:56ff:feaa:532d, 10.10.90.43, fe80::250:56ff:feaa:532e, 66.151.176.56, fe80::250:56ff:feaa:360",10.10.89.56,centos 6.3,[tpn-base],Andrew E.,2,no,Y,Rebuild.,,,,,
cam-vm-life1,1,0.5,10,"10.10.80.67, 10.89.225.5, fe80::250:56ff:feaa:2a29, fe80::250:56ff:feaa:58d",10.10.80.67,centos 6.3,[tpn-base],,,,,,,,,,
cam-vm-i4,2,5,30,"10.10.89.90, fe80::250:56ff:feaa:5328, 66.151.176.41, fe80::250:56ff:feaa:5329",66.151.176.41,centos 6.3,[tpn-base],Christian,1,,Y,,,,,,
cam-vm-i2,2,5,30,"10.10.89.135, fe80::250:56ff:feaa:40ae, 66.151.176.134, 66.151.176.58, fe80::250:56ff:feaa:40ad",66.151.176.134,centos 6.3,[tpn-base],Christian,1,,Y,,,,,,
cam-vm-i1,2,4,30,"10.10.89.136, fe80::250:56ff:feaa:40a8, 66.151.176.136, fe80::250:56ff:feaa:40a7",66.151.176.136,centos 6.3,[tpn-base],Christian,1,,Y,,,,,,
cam-vm-build1,4,6,200,"10.10.89.147, fe80::250:56ff:feaa:5364",10.10.89.147,centos 6.3,[tpn-base],Sibbitt,,,Y,Jenkins master,,,,,
vm-dev-tlake1,1,1,30,"10.131.54.51, fe80::250:56ff:feaa:210b, 10.131.52.51, fe80::250:56ff:feaa:2e49",10.131.54.51,centos 6.4,[tpn-base],,,Y,,,,,,,
cdn-dev-u1,1,1,48.828125,"10.10.222.23, fe80::250:56ff:feaa:79aa",10.10.222.23,centos 6.4,[tpn-base],Joe/Roger,,,Y,Move to new cdn vmware cluster,,,,,
cam-vm-z1,1,8,60,,10.10.89.96,centos 6.4,[tpn-base],,,,,,,,,,
cam-vm-tstc1,2,0.5,10,,10.10.80.236,centos 6.4,[tpn-base],,,,,,,,,,
cam-vm-sqr1,2,4,16,,66.151.176.34,centos 6.4,[tpn-base],Andrew E.,,,,Telchemy??,,,,,
cam-vm-sqp1,2,2,15,,10.10.80.181,centos 6.4,[tpn-base],Andrew E.,,,,Telchemy??,,,,,
cam-vm-sqc1,2,4,20,,66.151.176.6,centos 6.4,[tpn-base],Andrew E.,,,,Telchemy??,,,,,
cam-vm-rt1,2,6,50,"66.151.176.220, 10.10.89.142, fe80::20c:29ff:fecd:3223, 10.3.89.142, fe80::20c:29ff:fecd:322d, fe80::250:56ff:feaa:1884",66.151.176.220,centos 6.4,[tpn-base],,,,,,,,,,
cam-vm-q3,4,8,40,"10.10.89.242, fe80::250:56ff:feaa:3bd2",10.10.89.242,centos 6.4,[tpn-base],Sibbitt,1,,Y,Analytics,,,,,
cam-vm-q2,4,8,40,"10.10.89.235, fe80::250:56ff:feaa:3657",10.10.89.235,centos 6.4,[tpn-base],Sibbitt,1,,,Analytics,,,,,
cam-vm-mon5,4,2,30,"10.10.89.58, fe80::250:56ff:feaa:1bee, 66.151.176.11, fe80::250:56ff:feaa:3040",66.151.176.11,centos 6.4,[tpn-base],Andrew E.,2,,,,,,,,
cam-sqp2,2,2,30,"10.10.80.182, fe80::250:56ff:feaa:a85, fe80::250:56ff:feaa:6a8f",10.10.80.182,centos 6.4,[tpn-base],Andrew E.,,,,Telchemy??,,,,,
cam-solr2,2,1,30,"10.10.80.110, fe80::250:56ff:feaa:4ff",10.10.80.110,centos 6.4,[tpn-base],Christian,2,,Probably,,,,,,
cam-snmp1,1,2,30,"10.10.80.80, fe80::250:56ff:feaa:5a13, 10.10.90.14, fe80::250:56ff:feaa:3680, 66.151.176.250, fe80::250:56ff:feaa:7095",10.10.80.80,centos 6.4,[tpn-base],Andrew E.,2,,Probably,,,,,,
cam-scan1,4,4,30,"10.10.89.68, fe80::250:56ff:feaa:6ce2",10.10.89.68,centos 6.4,[tpn-base],Oskar,,,,openvas scanner for Margaret,,,,,
cam-rancid1,2,2,30,"10.10.80.105, 66.151.176.68, fe80::250:56ff:feaa:5dca, fe80::250:56ff:feaa:ae2",66.151.176.68,centos 6.4,[tpn-base],,,,,,,,,,
cam-prov4,2,4.0546875,30,"10.10.80.166, fe80::250:56ff:feaa:7521",10.10.80.166,centos 6.4,[tpn-base],Travis,1,,Y,,,,,,
cam-prov3,2,4.0546875,30,"10.10.80.165, fe80::250:56ff:feaa:6fda",10.10.80.165,centos 6.4,[tpn-base],Travis,1,,Y,,,,,,
cam-prov2,2,4.0546875,30,"10.10.80.164, fe80::250:56ff:feaa:1276",10.10.80.164,centos 6.4,[tpn-base],Travis,1,,Y,,,,,,
cam-prov1,2,4.0546875,30,"10.10.80.163, fe80::250:56ff:feaa:7754",10.10.80.163,centos 6.4,[tpn-base],Travis,1,,Y,,,,,,
cam-proj1,2,2,30,"10.10.80.94, fe80::250:56ff:feaa:1890",10.10.80.94,centos 6.4,[tpn-base],,,,,,,,,,
cam-omd-mpls,2,2,10,"10.10.80.100, fe80::250:56ff:feaa:7e",10.10.80.100,centos 6.4,[tpn-base],Andrew E,2,,,,,,,,
cam-int-ws2,1,2,30,"10.10.80.78, fe80::250:56ff:feaa:764f",10.10.80.78,centos 6.4,[tpn-base],,,,,,,,,,
cam-int-ws1,2,2,30,"10.10.80.21, fe80::250:56ff:feaa:6a83",10.10.80.21,centos 6.4,[tpn-base],,,,,,,,,,
cam-hrm1,2,2,49.53125,"10.10.80.85, fe80::250:56ff:feaa:18ef",10.10.80.85,centos 6.4,[tpn-base],,,,,,,,,,
cam-fastagi1,2,2,30,"10.10.80.45, fe80::250:56ff:feaa:4546",10.10.80.45,centos 6.4,[tpn-base],,,,,,,,,,
cam-eng2,1,1,170,"10.10.80.97, fe80::250:56ff:feaa:4b1c",10.10.80.97,centos 6.4,[tpn-base],,,,,,,,,,
cam-demo,2,2,30,"10.10.80.226, fe80::250:56ff:feaa:2d92",10.10.80.226,centos 6.4,[tpn-base],,,,,,,,,,
cam-cjp1,2,2,30,"10.10.80.194, fe80::250:56ff:feaa:38e, 66.151.176.172, fe80::250:56ff:feaa:202",66.151.176.172,centos 6.4,[tpn-base],,,,,,,,,,
cam-cass1,2,4,110,"10.10.80.9, fe80::250:56ff:feaa:65f3",10.10.80.9,centos 6.4,[tpn-base],Irek,,Probably,,,,,,,
cam-billing,2,3,30,"10.10.80.47, fe80::250:56ff:feaa:3e62",10.10.80.47,centos 6.4,[tpn-base],,,,,,,,,,
cam-tpnprovlab2,2,2,30,,10.10.80.81,centos 6.6,[tpn-base],,,,,,,,,,
cam-zk3,2,2,30,"10.10.80.19, fe80::250:56ff:feaa:1a66",10.10.80.19,centos 6.4,[tlc-zookeeper],,,,,,,,,,
cam-zk2,2,2,30,"10.10.80.16, fe80::250:56ff:feaa:6ea7",10.10.80.16,centos 6.4,[tlc-zookeeper],,,,,,,,,,
